Governorate,City,Block
Southern,Aáli,746
Southern,Aáli,748
Southern,Al Door,965
Southern,Algainah,961
Southern,Al Hajyat,929
Southern,Al Hajyat,931
Southern,Al Hajyat,935
Southern,Al Hajyat,939
Southern,Al Hunaniya,901
Southern,Al Hunaniya,903
Southern,Al Jaseera,971
Southern,Al Mamtala,1099
Southern,Al Mazrooeeah,943
Southern,Al Moaaskar,949
Southern,Al Omar,988
Southern,Al Qarah,983
Southern,Al Qarah,987
Southern,Al Qareen,967
Southern,Al Rawdha,906
Southern,Al Rawdha,930
Southern,Al Riffah,947
Southern,Al Romaitha,995
Southern,Al Rumamin,981
Southern,Al Rumamin,982
Southern,Al Shabak,989
Southern,Askar,951
Southern,Awali,945
Southern,Awali,946
Southern,Belaj Al Jazair,1063
Southern,Belaj Al Jazair,1064
Southern,Bu Kuwarah,913
Southern,Bu Kuwarah,917
Southern,Bu Kuwarah,919
Southern,Bu Kuwarah,921
Southern,Bu Kuwarah,923
Southern,Bu Kuwarah,925
Southern,Bu Kuwarah,927
Southern,Dar Kulaib,1048
Southern,Durrat Al Bahrain,999
Southern,East Riffa,905
Southern,East Riffa,907
Southern,East Riffa,909
Southern,East Riffa,911
Southern,Hafeera,959
Southern,Hawrat Sanad,645
Southern,Hidd Al Jamal,973
Southern,Hlaitan,1067
Southern,Horat Anaqa,1062
Southern,Isa Town,801
Southern,Isa Town,802
Southern,Isa Town,803
Southern,Isa Town,804
Southern,Isa Town,805
Southern,Isa Town,806
Southern,Isa Town,807
Southern,Isa Town,808
Southern,Isa Town,809
Southern,Isa Town,810
Southern,Isa Town,812
Southern,Isa Town,813
Southern,Isa Town,814
Southern,Isa Town,840
Southern,Isa Town,841
Southern,Jari Al Shaikh,920
Southern,Jari Al Shaikh,924
Southern,Jari Al Shaikh,926
Southern,Jaw,957
Southern,Jaw,960
Southern,Jazaer Beach,1061
Southern,Juzur Al Dar,613
Southern,Lhassay,948
Southern,Maameer,635
Southern,Maameer,636
Southern,Mamlahat Al Mamtala,1069
Southern,Mamlahat Al Mamtala,1070
Southern,Mazraa,953
Southern,New districts,1101
Southern,New districts,1102
Southern,New districts,1103
Southern,New districts,1104
Southern,New districts,1106
Southern,New districts,1107
Southern,New districts,1108
Southern,New districts,1110
Southern,New districts,1111
Southern,New districts,1112
Southern,New districts,1113
Southern,New districts,918
Southern,New districts,932
Southern,New districts,944
Southern,New districts,950
Southern,New districts,955
Southern,Nuwaydirat,643
Southern,Nuwaydirat,646
Southern,Ras Abu Jarjor,954
Southern,Ras Hayan,958
Southern,Ras Zuwaid,952
Southern,Riffa / Albuhair,914
Southern,Riffa / Albuhair,915
Southern,Riffa / Albuhair,916
Southern,Riffa / Albuhair,922
Southern,Riffa / Albuhair,933
Southern,Riffa / Albuhair,934
Southern,Riffa / Albuhair,937
Southern,Riffa / Albuhair,941
Southern,Sukhair,976
Southern,Sukhair,985
Southern,Swayfra,942
Southern,Trafi,998
Southern,Um Albaidh,614
Southern,Um Albaidh,615
Southern,Um Albaidh,616
Southern,Um Jadir,986
Southern,Umm Jidr Al Summan,997
Southern,Wadi Ali,1068
Southern,Wadi Al Sale,928
Southern,West Riffa,902
Southern,West Riffa,904
Southern,West Riffa,908
Southern,West Riffa,910
Southern,West Riffa,912
Southern,Zallaq,1051
Southern,Zallaq,1052
Southern,Zallaq,1054
Southern,Zallaq,1055
Southern,Zallaq,1056
Southern,Zayed Town,718
Southern,Zayed Town,720
Northern,Aáli,732
Northern,Aáli,734
Northern,Aáli,736
Northern,Aáli,738
Northern,Aáli,740
Northern,Aáli,742
Northern,Aáli,744
Northern,Abu Saiba'a,469
Northern,Abu Saiba'a,471
Northern,Abu Saiba'a,473
Northern,Abu Saiba'a,475
Northern,Al Hajar,463
Northern,Al Hajar,465
Northern,Al Jasra,1001
Northern,Al Jasra,1002
Northern,Al Jasra,1003
Northern,Al Jasra,1004
Northern,Al Jasra,1006
Northern,Al Lawzi,1016
Northern,Al Lawzi,1018
Northern,Al Lawzi,1020
Northern,Al Muhamadyia,587
Northern,Al Shakhura,477
Northern,Al Shakhura,479
Northern,Al Shakhura,481
Northern,Bani Jamra,537
Northern,Bani Jamra,539
Northern,Bani Jamra,541
Northern,Bani Jamra,543
Northern,Barbar,518
Northern,Barbar,520
Northern,Barbar,522
Northern,Barbar,524
Northern,Barbar,526
Northern,Barbar,528
Northern,Barbar,530
Northern,Budaiya,550
Northern,Budaiya,552
Northern,Budaiya,553
Northern,Budaiya,555
Northern,Budaiya,557
Northern,Budaiya,559
Northern,Buqwa,455
Northern,Buqwa,457
Northern,Buri,752
Northern,Buri,754
Northern,Buri,756
Northern,Buri,758
Northern,Buri,760
Northern,Buri,762
Northern,Damistan,1017
Northern,Damistan,1019
Northern,Damistan,1022
Northern,Dar Kulaib,1046
Northern,Diraz,536
Northern,Diraz,538
Northern,Diraz,540
Northern,Diraz,542
Northern,Diraz,544
Northern,Hamad Town,1038
Northern,Hamad Town,1203
Northern,Hamad Town,1204
Northern,Hamad Town,1205
Northern,Hamad Town,1206
Northern,Hamad Town,1207
Northern,Hamad Town,1208
Northern,Hamad Town,1209
Northern,Hamad Town,1210
Northern,Hamad Town,1211
Northern,Hamad Town,1212
Northern,Hamad Town,1213
Northern,Hamad Town,1214
Northern,Hamad Town,1215
Northern,Hamad Town,1216
Northern,Hamala,1009
Northern,Hamala,1010
Northern,Hamala,1012
Northern,Hamala,1014
Northern,Hillat AbdulSaleh,444
Northern,Hoarat Aáli,714
Northern,Hoarat Aáli,730
Northern,Jabalt Hibshi,431
Northern,Jabalt Hibshi,433
Northern,Jabalt Hibshi,435
Northern,Janabiya,561
Northern,Janabiya,565
Northern,Janabiya,569
Northern,Janabiya,571
Northern,Janabiya,575
Northern,Janabiya,577
Northern,Janabiya,579
Northern,Jannusan,502
Northern,Jannusan,504
Northern,Jannusan,506
Northern,Jannusan,508
Northern,Jedah,591
Northern,Jind Al Haj,514
Northern,Karana,454
Northern,Karana,456
Northern,Karana,458
Northern,Karana,460
Northern,Karzakan,1025
Northern,Karzakan,1026
Northern,Karzakan,1027
Northern,Karzakan,1028
Northern,King Fahad Causway,1095
Northern,Magaba,505
Northern,Magaba,507
Northern,Magaba,509
Northern,Magaba,513
Northern,Malkiya,1032
Northern,Malkiya,1033
Northern,Malkiya,1034
Northern,Maqsha,450
Northern,Markh,529
Northern,Markh,531
Northern,Markh,533
Northern,New districts,1218
Northern,New districts,515
Northern,North City,532
Northern,North City,534
Northern,North City,535
Northern,Northern City,580
Northern,Northern City,581
Northern,Northern City,582
Northern,Northern City,583
Northern,Northern City,584
Northern,Northern City,585
Northern,Northern City,586
Northern,Northern City,588
Northern,Northern City,589
Northern,Northern City,590
Northern,Northern Sehla,439
Northern,Northern Sehla,441
Northern,Qadam,447
Northern,Qadam,449
Northern,Qadam,453
Northern,Quraya,545
Northern,Quraya,547
Northern,Quraya,549
Northern,Quraya,551
Northern,Saar,517
Northern,Saar,521
Northern,Saar,523
Northern,Saar,525
Northern,Saar,527
Northern,Sadaq,1037
Northern,Safriya,1041
Northern,Salmabad,702
Northern,Salmabad,704
Northern,Salmabad,706
Northern,Salmabad,708
Northern,Salmabad,712
Northern,Shahrakan,1042
Northern,Shahrakan,1044
Northern,Um Al Naasan,1089
Capital,Abu Al Aish,607
Capital,Abu Buham,367
Capital,Adhari,366
Capital,Adhari,369
Capital,Adliya,327
Capital,Adliya,336
Capital,Al Akr Al Sharqi,623
Capital,Al Belad Al Qadeem,361
Capital,Al Belad Al Qadeem,362
Capital,Al Belad Al Qadeem,363
Capital,Al Belad Al Qadeem,364
Capital,Alcornish,322
Capital,Al Fatih,324
Capital,Al Guraifa,342
Capital,Al Hamriya,611
Capital,Al Khamiss,365
Capital,Al Kharjiya,606
Capital,Alnaim,303
Capital,Alnaim,314
Capital,Al Nasfa,733
Capital,Alqalla,438
Capital,Alsalmaniya,309
Capital,Alsalmaniya,310
Capital,Alsalmaniya,311
Capital,Alsalmaniya,329
Capital,Alseef District,428
Capital,Alseef District,436
Capital,Al Suqayyah,328
Capital,Alsuwayfia,313
Capital,Alsuwayfia,351
Capital,Alsuwayfia,353
Capital,Alwajeha Albhariya,344
Capital,Alwajeha Albhariya,346
Capital,Bu Asheera,332
Capital,Bu Ghasal,373
Capital,Bu Ghazal,330
Capital,Bu Ghazal,331
Capital,Burhama,354
Capital,Burhama,357
Capital,Commercial Area,315
Capital,Commercial Area,316
Capital,Daih,412
Capital,Daih,414
Capital,Diplomatic Area,317
Capital,Gudaibiya,307
Capital,Gudaibiya,308
Capital,Gudaibiya,321
Capital,Gudaibiya,325
Capital,Gudaibiya,326
Capital,Gudaibiya,338
Capital,Hoora,318
Capital,Hoora,319
Capital,Hoora,320
Capital,Isa Town,815
Capital,Isa Town,816
Capital,Jid Ali,721
Capital,Jidhafs,419
Capital,Jidhafs,421
Capital,Jidhafs,422
Capital,Jidhafs,423
Capital,Jidhafs,424
Capital,Jidhafs,425
Capital,Jidhafs,426
Capital,Juffair,340
Capital,Juffair,341
Capital,Jurdab,729
Capital,Karbabad,430
Capital,Karbabad,432
Capital,Karbabad,434
Capital,Maameer,633
Capital,Maameer,634
Capital,Mahaza,602
Capital,Mahaza,603
Capital,Mahooz,334
Capital,Manama Center,323
Capital,Minaa Salman Industrial Area,343
Capital,Murgoban,605
Capital,Musala,411
Capital,Musala,413
Capital,Nahib Saleh,380
Capital,Nahib Saleh,381
Capital,Nahib Saleh,382
Capital,Nurana,592
Capital,Nuwaydirat,644
Capital,Qarya,604
Capital,Qufool,312
Capital,Ras Ruman,306
Capital,Salhiya,356
Capital,Sanabis,402
Capital,Sanabis,404
Capital,Sanabis,405
Capital,Sanabis,406
Capital,Sanabis,408
Capital,Sanabis,410
Capital,Sanad,743
Capital,Sanad,745
Capital,Sitra Industrial Area,601
Capital,Souq,301
Capital,Souq,302
Capital,Souq,304
Capital,Souq,305
Capital,Southern Sehla,368
Capital,Sufala,609
Capital,Tashan,407
Capital,Tubli,701
Capital,Tubli,705
Capital,Tubli,707
Capital,Tubli,709
Capital,Tubli,711
Capital,Um Albaidh,610
Capital,Um Alhassam,333
Capital,Um Alhassam,335
Capital,Um Alhassam,337
Capital,Um Alhassam,339
Capital,Wadyan,608
Capital,Western Aker,624
Capital,Western Aker,625
Capital,Western Aker,626
Capital,Zinj,358
Capital,Zinj,359
Capital,Zinj,360
Muharraq,Al Sayh,228
Muharraq,Al Sayh,229
Muharraq,Amwaj,257
Muharraq,Amwaj,258
Muharraq,Amwaj,263
Muharraq,Amwaj,264
Muharraq,Amwaj,265
Muharraq,Amwaj,266
Muharraq,Amwaj,269
Muharraq,Arad,240
Muharraq,Arad,241
Muharraq,Arad,242
Muharraq,Arad,243
Muharraq,Arad,244
Muharraq,Arad,245
Muharraq,Arad,246
Muharraq,Busaiteen,221
Muharraq,Busaiteen,222
Muharraq,Busaiteen,223
Muharraq,Busaiteen,225
Muharraq,Busaiteen,226
Muharraq,Busaiteen,227
Muharraq,Dair,231
Muharraq,Dair,232
Muharraq,Dair,233
Muharraq,Galali,251
Muharraq,Galali,252
Muharraq,Galali,253
Muharraq,Galali,254
Muharraq,Galali,255
Muharraq,Galali,256
Muharraq,Halat Alnaim,248
Muharraq,Halat Alsulta,247
Muharraq,Hidd,101
Muharraq,Hidd,102
Muharraq,Hidd,103
Muharraq,Hidd,104
Muharraq,Hidd,105
Muharraq,Hidd,106
Muharraq,Hidd,107
Muharraq,Hidd,108
Muharraq,Hidd,109
Muharraq,Hidd,110
Muharraq,Hidd,111
Muharraq,Hidd,112
Muharraq,Hidd,113
Muharraq,Hidd,115
Muharraq,Hidd,116
Muharraq,Hidd,117
Muharraq,Hidd,118
Muharraq,Hidd,119
Muharraq,Hidd,121
Muharraq,Hidd,128
Muharraq,Muharraq,202
Muharraq,Muharraq,203
Muharraq,Muharraq,204
Muharraq,Muharraq,205
Muharraq,Muharraq,206
Muharraq,Muharraq,207
Muharraq,Muharraq,208
Muharraq,Muharraq,209
Muharraq,Muharraq,210
Muharraq,Muharraq,211
Muharraq,Muharraq,212
Muharraq,Muharraq,213
Muharraq,Muharraq,214
Muharraq,Muharraq,215
Muharraq,Muharraq,216
Muharraq,Muharraq,217
Muharraq,Muharraq,224
Muharraq,Samaheej,234
Muharraq,Samaheej,235
Muharraq,Samaheej,236
Muharraq,Samaheej,237