"id","companyId","name","size","url","createdAt","updatedDate","mediaSize","mediaType"
"e0165c11-889a-444b-9108-48d623adeefc","26df08fa-290d-47ff-b067-9503e8652925","WhatsApp Image 2022-07-05 at 10","{""size"": 23982, ""width"": 600, ""height"": 281}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/e0165c11-889a-444b-9108-48d623adeefc.jpeg""}","2023-07-19 13:10:38.951",NULL,"23982","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"30ab92df-9120-436f-b804-23023cc81b0c","26df08fa-290d-47ff-b067-9503e8652925","WhatsApp Image 2022-07-05 at 10Copy-1","{""size"": 27336, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/30ab92df-9120-436f-b804-23023cc81b0c.jpeg""}","2023-07-19 13:11:05.921",NULL,"27336","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"446b1b79-c943-4b1c-9cbd-ab2c9f11bda3","26df08fa-290d-47ff-b067-9503e8652925","WhatsApp Image 2023-07-20 at 11","{""size"": 23783, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/446b1b79-c943-4b1c-9cbd-ab2c9f11bda3.jpeg""}","2023-07-20 08:31:11.234",NULL,"23783","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"935e8f94-a6a4-4f83-b16b-cf346a9a6a5f","26df08fa-290d-47ff-b067-9503e8652925","Tuna Canned","{""size"": 146213, ""width"": 400, ""height"": 400}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/935e8f94-a6a4-4f83-b16b-cf346a9a6a5f.jpeg""}","2023-07-20 10:04:18.816",NULL,"146213","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"431257a9-7c95-40dd-bd2d-1aba42af5995","26df08fa-290d-47ff-b067-9503e8652925","132369-01","{""size"": 14881, ""width"": 96, ""height"": 96}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/431257a9-7c95-40dd-bd2d-1aba42af5995.avif""}","2023-07-20 10:14:34.986",NULL,"14881","{""fileType"": ""image"", ""extension"": ""avif""}"
"2f02b3f8-4209-4a89-b939-5bc49b4ed7be","26df08fa-290d-47ff-b067-9503e8652925","617950142195","{""size"": 179175, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/2f02b3f8-4209-4a89-b939-5bc49b4ed7be.jpeg""}","2023-07-20 10:16:11.215",NULL,"179175","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"75942cce-3e57-4e53-a9c2-91cf753bbb8d","26df08fa-290d-47ff-b067-9503e8652925","617950142195Copy-1","{""size"": 179175, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/75942cce-3e57-4e53-a9c2-91cf753bbb8d.jpeg""}","2023-07-20 10:26:05.297",NULL,"179175","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"5a6f8804-68d4-46c4-9d5e-cba4fc93248d","26df08fa-290d-47ff-b067-9503e8652925","crispy-chicken-burger","{""size"": 311566, ""width"": 497, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/5a6f8804-68d4-46c4-9d5e-cba4fc93248d.webp""}","2023-07-20 11:08:38.843",NULL,"311566","{""fileType"": ""image"", ""extension"": ""webp""}"
"898d1a6e-bb20-40df-8b6b-9c467fd9a8bf","26df08fa-290d-47ff-b067-9503e8652925","Burger-and-Fries","{""size"": 180389, ""width"": 600, ""height"": 400}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/898d1a6e-bb20-40df-8b6b-9c467fd9a8bf.jpeg""}","2023-08-08 07:11:10.573",NULL,"180389","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"5b0deb56-b12d-4358-a4f0-c2e60dd98443","26df08fa-290d-47ff-b067-9503e8652925","wpid-“Basic”-Means-Better-at-Basic-Burger","{""size"": 25827, ""width"": 600, ""height"": 498}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/5b0deb56-b12d-4358-a4f0-c2e60dd98443.jpeg""}","2023-08-08 07:12:55.509",NULL,"25827","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"e3462b17-9274-4de3-b0a0-592de4519801","26df08fa-290d-47ff-b067-9503e8652925","maxresdefault","{""size"": 228654, ""width"": 600, ""height"": 337}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/e3462b17-9274-4de3-b0a0-592de4519801.jpeg""}","2023-08-08 08:42:07.246",NULL,"228654","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"79d532db-ccd6-4813-aa51-58211ca9543a","26df08fa-290d-47ff-b067-9503e8652925","International-Burger-Day","{""size"": 329194, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/79d532db-ccd6-4813-aa51-58211ca9543a.webp""}","2023-08-08 08:43:17.268",NULL,"329194","{""fileType"": ""image"", ""extension"": ""webp""}"
"90f22682-1ffe-4d7d-a0b7-042ad222de11","26df08fa-290d-47ff-b067-9503e8652925","Ultimate-Veggie-Burgers-FT-Recipe-0821-5d7532c53a924a7298d2175cf1d4219f","{""size"": 286172, ""width"": 600, ""height"": 400}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/90f22682-1ffe-4d7d-a0b7-042ad222de11.jpeg""}","2023-08-08 08:45:20.037",NULL,"286172","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"797acbba-8654-445f-a2ff-c6bd1af1d919","26df08fa-290d-47ff-b067-9503e8652925","Crispy-Chicken-BurgerCopy-1","{""size"": 240323, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/797acbba-8654-445f-a2ff-c6bd1af1d919.jpeg""}","2023-08-08 08:47:16.35",NULL,"240323","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"ee008456-8566-4e21-a1d0-64488a6fe792","26df08fa-290d-47ff-b067-9503e8652925","20230120213218-capture","{""size"": 356204, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/ee008456-8566-4e21-a1d0-64488a6fe792.webp""}","2023-08-08 09:11:00.642",NULL,"356204","{""fileType"": ""image"", ""extension"": ""webp""}"
"06e94092-d48b-444a-a50a-0d693542e989","26df08fa-290d-47ff-b067-9503e8652925","Chicken-Philly-Recipe-2-750x1125","{""size"": 305161, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/06e94092-d48b-444a-a50a-0d693542e989.jpeg""}","2023-08-08 09:20:05.022",NULL,"305161","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"62f4c65f-d314-4471-8669-698b11c4dc01","26df08fa-290d-47ff-b067-9503e8652925","ricotta-and-grilled-tandoori-chicken-sandwich","{""size"": 213241, ""width"": 600, ""height"": 400}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/62f4c65f-d314-4471-8669-698b11c4dc01.jpeg""}","2023-08-08 09:27:42.796",NULL,"213241","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"2b66a8b1-ef36-4667-96ae-5d86be81ddf2","26df08fa-290d-47ff-b067-9503e8652925","Homemade-Mozzarella-Sticks-9","{""size"": 550899, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/2b66a8b1-ef36-4667-96ae-5d86be81ddf2.jpeg""}","2023-08-08 09:54:44.718",NULL,"550899","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"1deb95f2-b2e4-494f-821f-9ec0a3dfbc5f","26df08fa-290d-47ff-b067-9503e8652925","fried-mashed-potato-balls-recipe-photo-tablefortwoblog-5-scaled","{""size"": 381382, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/1deb95f2-b2e4-494f-821f-9ec0a3dfbc5f.jpeg""}","2023-08-08 09:55:43.143",NULL,"381382","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"0b3ca7c0-3f3c-4b60-a2ad-13f39d749978","26df08fa-290d-47ff-b067-9503e8652925","onion-rings-2","{""size"": 347893, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/0b3ca7c0-3f3c-4b60-a2ad-13f39d749978.jpeg""}","2023-08-08 10:00:06.407",NULL,"347893","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"318ad287-a6c8-41e1-aee4-13f416ed6d12","26df08fa-290d-47ff-b067-9503e8652925","maxresdefaultCopy-1","{""size"": 229182, ""width"": 600, ""height"": 337}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/318ad287-a6c8-41e1-aee4-13f416ed6d12.jpeg""}","2023-08-08 10:10:16.605",NULL,"229182","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"c011158f-2ca1-4282-9c01-00720bfa1d4e","26df08fa-290d-47ff-b067-9503e8652925","Chinese-Spring-Rolls-4FEAT-500x500","{""size"": 194880, ""width"": 500, ""height"": 500}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/c011158f-2ca1-4282-9c01-00720bfa1d4e.jpeg""}","2023-08-08 10:11:54.371",NULL,"194880","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"2966460b-c53e-4d20-aff9-1a61c15e1d40","26df08fa-290d-47ff-b067-9503e8652925","vegan-stuffed-grape-leaves-portion-800x1200","{""size"": 249681, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/2966460b-c53e-4d20-aff9-1a61c15e1d40.jpeg""}","2023-08-08 10:13:53.637",NULL,"249681","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"29a370d2-0c25-48c3-89ad-51181c471378","26df08fa-290d-47ff-b067-9503e8652925","fc9bfa05-3355-4a4b-a97f-675becdc0f48","{""size"": 183620, ""width"": 600, ""height"": 312}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/29a370d2-0c25-48c3-89ad-51181c471378.jpeg""}","2023-08-08 10:58:04.941",NULL,"183620","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"4cfece73-1501-4636-a931-513455407309","26df08fa-290d-47ff-b067-9503e8652925","32604506486_274fbf5fd5_z","{""size"": 383393, ""width"": 476, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/4cfece73-1501-4636-a931-513455407309.jpeg""}","2023-08-08 11:05:31.28",NULL,"383393","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"69fc65d0-9984-491f-8efe-9ff020720b66","26df08fa-290d-47ff-b067-9503e8652925","best-chicken-quesadilla","{""size"": 351094, ""width"": 460, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/69fc65d0-9984-491f-8efe-9ff020720b66.jpeg""}","2023-08-08 11:05:55.555",NULL,"351094","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"930fa3cf-9023-480a-965a-1437ac5634ed","26df08fa-290d-47ff-b067-9503e8652925","120208","{""size"": 302764, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/930fa3cf-9023-480a-965a-1437ac5634ed.jpeg""}","2023-08-08 12:18:25.847",NULL,"302764","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"cbf946f3-ba1e-4a08-aacf-4d6d55b61e2d","26df08fa-290d-47ff-b067-9503e8652925","Hawaiian-Tequila-Chicken-Salad-With-Pineapple-Vinaigrette-1","{""size"": 332252, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/cbf946f3-ba1e-4a08-aacf-4d6d55b61e2d.jpeg""}","2023-08-08 12:21:49.008",NULL,"332252","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"e3e31159-26a6-4bcf-a6a5-5ae2a135b90a","26df08fa-290d-47ff-b067-9503e8652925","Chicken-Wings-Recipe-Card","{""size"": 176981, ""width"": 600, ""height"": 337}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/e3e31159-26a6-4bcf-a6a5-5ae2a135b90a.jpeg""}","2023-08-08 12:25:41.919",NULL,"176981","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"50d61b09-d991-4098-99d5-8a545037642f","26df08fa-290d-47ff-b067-9503e8652925","Garlic-Bread-4","{""size"": 441800, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/50d61b09-d991-4098-99d5-8a545037642f.webp""}","2023-08-08 12:31:36.731",NULL,"441800","{""fileType"": ""image"", ""extension"": ""webp""}"
"8822437d-398d-42c5-8e10-544843a7e0ee","26df08fa-290d-47ff-b067-9503e8652925","air-fryer-spicy-french-fries_-2","{""size"": 296777, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/8822437d-398d-42c5-8e10-544843a7e0ee.jpeg""}","2023-08-08 12:33:30.364",NULL,"296777","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"7f67656b-96cf-416e-ba20-9ac4141bc54d","26df08fa-290d-47ff-b067-9503e8652925","crunchy-thai-peanut-quinoa-salad-recipe-4","{""size"": 317874, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/7f67656b-96cf-416e-ba20-9ac4141bc54d.webp""}","2023-08-08 12:42:42.323",NULL,"317874","{""fileType"": ""image"", ""extension"": ""webp""}"
"d367fbc9-c885-4b7c-9362-4a64582394b5","26df08fa-290d-47ff-b067-9503e8652925","greek-salad-1-scaled","{""size"": 77336, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/d367fbc9-c885-4b7c-9362-4a64582394b5.jpeg""}","2023-08-08 12:43:56.34",NULL,"77336","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"c4b24326-1f7a-4767-9025-3a9b3e58d327","26df08fa-290d-47ff-b067-9503e8652925","Fattoush-Salad-2-of-8","{""size"": 320524, ""width"": 600, ""height"": 400}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/c4b24326-1f7a-4767-9025-3a9b3e58d327.jpeg""}","2023-08-08 12:46:31.368",NULL,"320524","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"c779834b-e690-4cf5-921b-505f86ac95e9","26df08fa-290d-47ff-b067-9503e8652925","healthy-tuna-salad-3","{""size"": 335982, ""width"": 399, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/c779834b-e690-4cf5-921b-505f86ac95e9.jpeg""}","2023-08-08 12:48:14.542",NULL,"335982","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"e4c27f6d-84a2-405f-b4f9-4144b530d618","26df08fa-290d-47ff-b067-9503e8652925","pickled-strawberry-salad3","{""size"": 340745, ""width"": 396, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/e4c27f6d-84a2-405f-b4f9-4144b530d618.jpeg""}","2023-08-08 13:10:05.691",NULL,"340745","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"a13fcdb0-a574-4479-bb15-0127801da4b3","26df08fa-290d-47ff-b067-9503e8652925","Five-bean-salad-recipe-image-2-1532","{""size"": 302594, ""width"": 600, ""height"": 336}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/a13fcdb0-a574-4479-bb15-0127801da4b3.webp""}","2023-08-08 13:15:28.804",NULL,"302594","{""fileType"": ""image"", ""extension"": ""webp""}"
"cd16b601-4b22-4969-aa65-c5f8ee5acb5d","26df08fa-290d-47ff-b067-9503e8652925","Tabouli_salad1","{""size"": 343549, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/cd16b601-4b22-4969-aa65-c5f8ee5acb5d.jpeg""}","2023-08-08 13:19:12.015",NULL,"343549","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"ea1254d1-38fb-4177-b902-028a2074cda9","26df08fa-290d-47ff-b067-9503e8652925","Fruit-Salad-with-Orange-Poppy-Seed-Syrup-2","{""size"": 331162, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/ea1254d1-38fb-4177-b902-028a2074cda9.jpeg""}","2023-08-08 13:20:35.618",NULL,"331162","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"6f306e03-7a7d-43e1-a727-2a8fc7522eb7","26df08fa-290d-47ff-b067-9503e8652925","pickled-strawberry-salad3Copy-1","{""size"": 340745, ""width"": 396, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/6f306e03-7a7d-43e1-a727-2a8fc7522eb7.jpeg""}","2023-08-08 13:24:44.654",NULL,"340745","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"097c4314-c51d-4afa-82b9-a576aabb0090","26df08fa-290d-47ff-b067-9503e8652925","Grilled-Chicken-Salad-Cobb-Salad-photo-recipe-8","{""size"": 377534, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/097c4314-c51d-4afa-82b9-a576aabb0090.jpeg""}","2023-08-08 13:25:43.069",NULL,"377534","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"131bee66-c171-4803-b2ed-bc9d2feb2a8e","26df08fa-290d-47ff-b067-9503e8652925","pomegranate-rocket-salad-in-serving-bowl-and-two-plates-720x1080","{""size"": 334545, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/131bee66-c171-4803-b2ed-bc9d2feb2a8e.jpeg""}","2023-08-09 05:47:53.17",NULL,"334545","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"3225182c-a258-4500-943d-f6b344d0ae18","26df08fa-290d-47ff-b067-9503e8652925","20220617194112-true-orange-fruit-salad","{""size"": 273720, ""width"": 600, ""height"": 337}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/3225182c-a258-4500-943d-f6b344d0ae18.webp""}","2023-08-09 05:52:00.779",NULL,"273720","{""fileType"": ""image"", ""extension"": ""webp""}"
"45512688-112f-4b8f-94ed-f8e0bf327c19","26df08fa-290d-47ff-b067-9503e8652925","greek-yogurt-fruit-salad-img4","{""size"": 268430, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/45512688-112f-4b8f-94ed-f8e0bf327c19.webp""}","2023-08-09 05:53:31.2",NULL,"268430","{""fileType"": ""image"", ""extension"": ""webp""}"
"7283a49c-9379-4ed1-83e5-a6200e77e246","26df08fa-290d-47ff-b067-9503e8652925","IMG_9545-1024x768","{""size"": 331538, ""width"": 600, ""height"": 450}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/7283a49c-9379-4ed1-83e5-a6200e77e246.jpeg""}","2023-08-09 05:57:30.46",NULL,"331538","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"623556c3-6408-4a59-9c64-68ac7d5cc3f2","26df08fa-290d-47ff-b067-9503e8652925","summer-salad-with-strawberries-avocado-pecans-balsamic-dressing-6","{""size"": 293124, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/623556c3-6408-4a59-9c64-68ac7d5cc3f2.jpeg""}","2023-08-09 06:01:05.807",NULL,"293124","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"895149ea-6ea8-4a1c-99ff-afa628571b14","26df08fa-290d-47ff-b067-9503e8652925","73d98f23ba526056aed2a324c96fbc7e","{""size"": 283156, ""width"": 398, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/895149ea-6ea8-4a1c-99ff-afa628571b14.jpeg""}","2023-08-09 06:02:43.433",NULL,"283156","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"757806c8-747c-4409-a43a-a3bc1715edfe","26df08fa-290d-47ff-b067-9503e8652925","file5EM5HHGD","{""size"": 231738, ""width"": 600, ""height"": 424}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/757806c8-747c-4409-a43a-a3bc1715edfe.jpeg""}","2023-08-09 07:55:17.922",NULL,"231738","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"308b00d4-e1f9-483a-aaa9-1515c85c1014","26df08fa-290d-47ff-b067-9503e8652925","file5EM5HHGDCopy-1","{""size"": 231738, ""width"": 600, ""height"": 424}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/308b00d4-e1f9-483a-aaa9-1515c85c1014.jpeg""}","2023-08-09 08:05:13.962",NULL,"231738","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"d80c4333-3d2a-474d-bd45-43838f9ec830","26df08fa-290d-47ff-b067-9503e8652925","anime-original-braid-girl-wallpaper-preview","{""size"": 162857, ""width"": 600, ""height"": 391}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/d80c4333-3d2a-474d-bd45-43838f9ec830.jpeg""}","2023-08-09 08:45:12.126",NULL,"162857","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"950bbea2-fbd6-4553-8243-b24fe4a69f4b","26df08fa-290d-47ff-b067-9503e8652925","US_HandAndFootTherapy","{""size"": 211952, ""width"": 600, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/950bbea2-fbd6-4553-8243-b24fe4a69f4b.webp""}","2023-08-10 06:19:53.416",NULL,"211952","{""fileType"": ""image"", ""extension"": ""webp""}"
"b99423b5-2a26-42ec-b92d-5a789cda52cd","26df08fa-290d-47ff-b067-9503e8652925","images","{""size"": 31758, ""width"": 183, ""height"": 275}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/b99423b5-2a26-42ec-b92d-5a789cda52cd.jpeg""}","2023-08-10 06:32:36.874",NULL,"31758","{""fileType"": ""image"", ""extension"": ""jpeg""}"
"a4493149-4f96-49ad-b30f-cf3f413e9961","26df08fa-290d-47ff-b067-9503e8652925","53d77cac328c8452e431ac00a8de3e85","{""size"": 195305, ""width"": 400, ""height"": 600}","{""defaultUrl"":""https://testback.invopos.co/v1/app/Media/getMedia/26df08fa-290d-47ff-b067-9503e8652925/a4493149-4f96-49ad-b30f-cf3f413e9961.jpeg""}","2023-08-10 06:37:57.72",NULL,"195305","{""fileType"": ""image"", ""extension"": ""jpeg""}"
